Drain TotalCurrent(main_m0p7_fet_dut_nanosheet_ns2_2D_NMOS_idvg) X,Drain TotalCurrent(main_m0p7_fet_dut_nanosheet_ns2_2D_NMOS_idvg) Y,Source TotalCurrent(main_m0p7_fet_dut_nanosheet_ns2_2D_NMOS_idvg) X,Source TotalCurrent(main_m0p7_fet_dut_nanosheet_ns2_2D_NMOS_idvg) Y,Gate TotalCurrent(main_m0p7_fet_dut_nanosheet_ns2_2D_NMOS_idvg) X,Gate TotalCurrent(main_m0p7_fet_dut_nanosheet_ns2_2D_NMOS_idvg) Y
-0.5,8.519723e-16,-0.5,-8.5197441e-16,-0.5,0
-0.45,4.4736783e-15,-0.45,-4.4736783e-15,-0.45,0
-0.4,2.3530017e-14,-0.4,-2.3530017e-14,-0.4,0
-0.35,1.2361933e-13,-0.35,-1.2361933e-13,-0.35,0
-0.3,6.483004e-13,-0.3,-6.483004e-13,-0.3,0
-0.25,3.3925253e-12,-0.25,-3.3925253e-12,-0.25,0
-0.2,1.7706778e-11,-0.2,-1.7706778e-11,-0.2,0
-0.15,9.2127268e-11,-0.15,-9.2127268e-11,-0.15,0
-0.1,4.7748104e-10,-0.1,-4.7748104e-10,-0.1,0
-0.05,2.4627333e-09,-0.05,-2.4627333e-09,-0.05,0
-5.5511151e-17,1.2623222e-08,-5.5511151e-17,-1.2623222e-08,-5.5511151e-17,0
0.05,6.4168637e-08,0.05,-6.4168637e-08,0.05,0
0.1,3.2245198e-07,0.1,-3.2245198e-07,0.1,0
0.15,1.5927773e-06,0.15,-1.5927773e-06,0.15,0
0.2,7.6495447e-06,0.2,-7.6495447e-06,0.2,0
0.25,3.4878748e-05,0.25,-3.4878748e-05,0.25,0
0.3,0.00014336564,0.3,-0.00014336564,0.3,0
0.35,0.0004875521,0.35,-0.0004875521,0.35,0
0.4,0.0012820751,0.4,-0.0012820751,0.4,0
0.45,0.002642026,0.45,-0.002642026,0.45,0
0.5,0.0045384868,0.5,-0.0045384868,0.5,0
0.55,0.0068815261,0.55,-0.0068815261,0.55,0
0.6,0.0095772437,0.6,-0.0095772437,0.6,0
0.65,0.012542506,0.65,-0.012542506,0.65,0
0.7,0.015703372,0.7,-0.015703372,0.7,0
0.75,0.018989095,0.75,-0.018989095,0.75,0
0.8,0.022324911,0.8,-0.022324911,0.8,0
0.85,0.025625516,0.85,-0.025625516,0.85,0
0.9,0.028794769,0.9,-0.028794769,0.9,0
0.95,0.031740231,0.95,-0.031740231,0.95,0
1,0.034399266,1,-0.034399266,1,0
1.05,0.036753707,1.05,-0.036753707,1.05,0
1.1,0.038821156,1.1,-0.038821156,1.1,0
1.15,0.040636562,1.15,-0.040636562,1.15,0
1.2,0.042238307,1.2,-0.042238307,1.2,0
1.25,0.043661474,1.25,-0.043661474,1.25,0
1.3,0.044935732,1.3,-0.044935732,1.3,0
1.35,0.046085339,1.35,-0.046085338,1.35,0
1.4,0.047129874,1.4,-0.047129874,1.4,0
1.45,0.048085113,1.45,-0.048085113,1.45,0
1.5,0.048963807,1.5,-0.048963807,1.5,0

