Drain TotalCurrent(main_m0p7_fet_dut_nanosheet_ns2_2D_PMOS_idvg) X,Drain TotalCurrent(main_m0p7_fet_dut_nanosheet_ns2_2D_PMOS_idvg) Y,Source TotalCurrent(main_m0p7_fet_dut_nanosheet_ns2_2D_PMOS_idvg) X,Source TotalCurrent(main_m0p7_fet_dut_nanosheet_ns2_2D_PMOS_idvg) Y,Gate TotalCurrent(main_m0p7_fet_dut_nanosheet_ns2_2D_PMOS_idvg) X,Gate TotalCurrent(main_m0p7_fet_dut_nanosheet_ns2_2D_PMOS_idvg) Y
0.5,-1.5351565e-15,0.5,1.5351565e-15,0.5,0
0.45,-8.0745217e-15,0.45,8.0745217e-15,0.45,0
0.4,-4.242274e-14,0.4,4.242274e-14,0.4,0
0.35,-2.2249415e-13,0.35,2.2249415e-13,0.35,0
0.3,-1.1644129e-12,0.3,1.1644129e-12,0.3,0
0.25,-6.0782537e-12,0.25,6.0782537e-12,0.25,0
0.2,-3.1630241e-11,0.2,3.1630241e-11,0.2,0
0.15,-1.6397422e-10,0.15,1.6397422e-10,0.15,0
0.1,-8.4603851e-10,0.1,8.4603851e-10,0.1,0
0.05,-4.3388603e-09,0.05,4.3388603e-09,0.05,0
5.5511151e-17,-2.2074824e-08,5.5511151e-17,2.2074824e-08,5.5511151e-17,0
-0.05,-1.1108499e-07,-0.05,1.1108499e-07,-0.05,0
-0.1,-5.5010842e-07,-0.1,5.5010842e-07,-0.1,0
-0.15,-2.6552964e-06,-0.15,2.6552964e-06,-0.15,0
-0.2,-1.22431e-05,-0.2,1.22431e-05,-0.2,0
-0.25,-5.1641093e-05,-0.25,5.1641093e-05,-0.25,0
-0.3,-0.00018478604,-0.3,0.00018478604,-0.3,0
-0.35,-0.00052187224,-0.35,0.00052187224,-0.35,0
-0.4,-0.0011569757,-0.4,0.0011569757,-0.4,0
-0.45,-0.0021177609,-0.45,0.0021177609,-0.45,0
-0.5,-0.0033842895,-0.5,0.0033842895,-0.5,0
-0.55,-0.0049194141,-0.55,0.0049194141,-0.55,0
-0.6,-0.0066832266,-0.6,0.0066832266,-0.6,0
-0.65,-0.0086372528,-0.65,0.0086372528,-0.65,0
-0.7,-0.01074457,-0.7,0.01074457,-0.7,0
-0.75,-0.012968478,-0.75,0.012968478,-0.75,0
-0.8,-0.015270801,-0.8,0.015270801,-0.8,0
-0.85,-0.01761063,-0.85,0.01761063,-0.85,0
-0.9,-0.019944656,-0.9,0.019944656,-0.9,0
-0.95,-0.022230276,-0.95,0.022230276,-0.95,0
-1,-0.024431073,-1,0.024431073,-1,0
-1.05,-0.026521841,-1.05,0.026521841,-1.05,0
-1.1,-0.028490086,-1.1,0.028490086,-1.1,0
-1.15,-0.03033386,-1.15,0.03033386,-1.15,0
-1.2,-0.03205807,-1.2,0.03205807,-1.2,0
-1.25,-0.033671171,-1.25,0.033671171,-1.25,0
-1.3,-0.035182916,-1.3,0.035182916,-1.3,0
-1.35,-0.036603083,-1.35,0.036603083,-1.35,0
-1.4,-0.037940835,-1.4,0.037940835,-1.4,0
-1.45,-0.039204465,-1.45,0.039204465,-1.45,0
-1.5,-0.040401339,-1.5,0.040401339,-1.5,0

